userId,countryCode,installedAt,osVersion,device,limitAdTracking,adjustId,adGroupName,trackerName,channel,campaign,creative,os_name,installedDate,countryName
47123348Ld7f16c70403f8e1affdb1332931e,ca,2024-01-01 17:23:46+00:00,9,galaxya50,False,EJRY87002175420325,adGroupName 1,trackerName 1,channel 1,campaign 1,creative 1,android,2024-01-01,Canada
98223348Lfc56424f4ecc8a6a51df078d3b50,ca,2024-01-01 03:08:35+00:00,9,galaxys22ultra5g,False,OQJA99166154683474,adGroupName 55,trackerName 58,channel 9,campaign 22,creative 37,android,2024-01-01,Canada
50653348Le377569f4c0b97c211d3c6a185cc,gb,2024-01-01 10:51:47+00:00,9,galaxya8(2018),False,XXOH42898890122016,adGroupName 54,trackerName 57,channel 9,campaign 21,creative 27,android,2024-01-01,United Kingdom
2e803348Lb3e5dfad4133943aa10b8349a704,de,2024-01-01 12:56:25+00:00,9,galaxys8,False,KLAB91443783264247,adGroupName 54,trackerName 56,channel 9,campaign 20,creative 36,android,2024-01-01,Germany
57893348L8954cfdf4b389d80a5d804b00fe0,de,2024-01-01 17:34:59+00:00,9,galaxynote8,False,YDZY92754243116752,adGroupName 53,trackerName 55,channel 9,campaign 20,creative 35,android,2024-01-01,Germany
a37b3348L6a843f7d4c53a21f7893610f1c41,pt,2024-01-01 08:58:26+00:00,9,galaxys8plus,False,WLIY00808272610892,adGroupName 48,trackerName 50,channel 9,campaign 19,creative 30,android,2024-01-01,Portugal
1ea03348Lee1e4f064da28825ad6390b72725,gb,2024-01-01 13:48:57+00:00,9,galaxya20e,True,QSET61422121345190,adGroupName 52,trackerName 54,channel 9,campaign 21,creative 34,android,2024-01-01,United Kingdom
818f3348L91abbdaf4e9b8c4a2b36491ff360,gb,2024-01-01 04:20:31+00:00,9,8,False,CUPG96622933841895,adGroupName 51,trackerName 53,channel 9,campaign 20,creative 33,android,2024-01-01,United Kingdom
cc0e3348L3ccb0c2e41318791d09edf5b59b2,es,2024-01-01 10:15:50+00:00,9,k41s,False,PXHP18193167788918,adGroupName 50,trackerName 52,channel 9,campaign 20,creative 32,android,2024-01-01,Spain
593b3348L430b5a0f45249cd316c0b59d5a32,be,2024-01-01 18:58:32+00:00,9,p30lite,False,LFWA93602655720534,adGroupName 49,trackerName 51,channel 9,campaign 19,creative 31,android,2024-01-01,Belgium
e4c73348L83dc14c34976bb7b9d929e2a6fe4,us,2024-01-01 06:45:53+00:00,9,100005208,False,ZAPD60861269324954,adGroupName 32,trackerName 33,channel 7,campaign 14,creative 18,android,2024-01-01,United States
c4043348L2405df01468cb9f38af7b6f9ef4a,us,2024-01-01 13:42:05+00:00,9,galaxys8,False,LVJP57384540987196,adGroupName 57,trackerName 60,channel 10,campaign 23,creative 39,android,2024-01-01,United States
05f53348Lab4a71704c5c9a7799ebc09dcf4a,de,2024-01-01 14:04:07+00:00,9,galaxys8plus,False,LQAM74341541682494,adGroupName 56,trackerName 59,channel 9,campaign 22,creative 38,android,2024-01-01,Germany
899f3348Lb6ff9f70416e9ad0929c38167708,us,2024-01-01 01:14:27+00:00,9,galaxys8active,False,IVCM96549977853590,adGroupName 10,trackerName 10,channel 3,campaign 6,creative 7,android,2024-01-01,United States
8c5b3348L84686c3247fe9a1bab09c80621f8,us,2024-01-01 09:45:09+00:00,9,galaxyj7crown,False,LAJQ87967880944474,adGroupName 9,trackerName 9,channel 3,campaign 6,creative 6,android,2024-01-01,United States
116a3348L8225d8254093a3f919c797bc2831,us,2024-01-01 20:33:32+00:00,9,u693cl,False,QGNK27406694887597,adGroupName 8,trackerName 8,channel 3,campaign 6,creative 6,android,2024-01-01,United States
