userId,countryCode_x,installedAt,osVersion,device,limitAdTracking,adjustId,adGroupName,trackerName,channel,campaign,creative,os_name,installedDate,countryName_installs,amount,adUnitFormat,adUnitName,advertisingId,countryCode_y,countryName_revenue,createdAt,createdDate,deviceId,eventId,network,packageName,platform,source,eventCount,_merge
47123348Ld7f16c70403f8e1affdb1332931e,ca,2024-01-01 17:23:46+00:00,9,galaxya50,False,EJRY87002175420325,adGroupName 1,trackerName 1,channel 1,campaign 1,creative 1,android,2024-01-01,Canada,0.028306409999999997,adUnitFormat 1,adUnitName 1,PJDF37672139806354,nl,Netherlands,"[Timestamp('2024-01-01 09:19:52.900940+0000', tz='UTC'), Timestamp('2024-01-01 09:06:11.618966+0000', tz='UTC'), Timestamp('2024-01-01 14:48:32.799666+0000', tz='UTC')]",2024-01-01,OCNZ40740081001824,"['GGXB32293442357576', 'ZFAS45155583461209', 'VHHS60915188517622']","['network 1', 'network 9']",packageName 1,android,source 1,3,both
98223348Lfc56424f4ecc8a6a51df078d3b50,ca,2024-01-01 03:08:35+00:00,9,galaxys22ultra5g,False,OQJA99166154683474,adGroupName 55,trackerName 58,channel 9,campaign 22,creative 37,android,2024-01-01,Canada,0.18251040000000002,adUnitFormat 1,adUnitName 1,BTFB55314981998668,ca,Canada,"[Timestamp('2024-01-01 03:27:11.653079+0000', tz='UTC'), Timestamp('2024-01-01 03:09:21.363023+0000', tz='UTC')]",2024-01-01,MUKJ31662517026062,"['UFOA50316346323353', 'GSFJ54230156274976']","['network 1', 'network 9']",packageName 1,android,source 1,2,both
50653348Le377569f4c0b97c211d3c6a185cc,gb,2024-01-01 10:51:47+00:00,9,galaxya8(2018),False,XXOH42898890122016,adGroupName 54,trackerName 57,channel 9,campaign 21,creative 27,android,2024-01-01,United Kingdom,,,,,,,,,,,,,,,0,left_only
2e803348Lb3e5dfad4133943aa10b8349a704,de,2024-01-01 12:56:25+00:00,9,galaxys8,False,KLAB91443783264247,adGroupName 54,trackerName 56,channel 9,campaign 20,creative 36,android,2024-01-01,Germany,0.000178575,adUnitFormat 2,adUnitName 3,TCYX74674601195454,de,Germany,"[Timestamp('2024-01-01 13:03:24.676989+0000', tz='UTC')]",2024-01-01,PXMM53226701652285,PUFK31153656818899,network 2,packageName 2,android,source 1,1,both
57893348L8954cfdf4b389d80a5d804b00fe0,de,2024-01-01 17:34:59+00:00,9,galaxynote8,False,YDZY92754243116752,adGroupName 53,trackerName 55,channel 9,campaign 20,creative 35,android,2024-01-01,Germany,0.000253906,adUnitFormat 2,adUnitName 10,LLPE93394264688921,de,Germany,"[Timestamp('2024-01-01 20:54:31.609564+0000', tz='UTC')]",2024-01-01,YSPB22903207893694,VIJE54966397157283,network 5,packageName 3,android,source 1,1,both
a37b3348L6a843f7d4c53a21f7893610f1c41,pt,2024-01-01 08:58:26+00:00,9,galaxys8plus,False,WLIY00808272610892,adGroupName 48,trackerName 50,channel 9,campaign 19,creative 30,android,2024-01-01,Portugal,,,,,,,,,,,,,,,0,left_only
1ea03348Lee1e4f064da28825ad6390b72725,gb,2024-01-01 13:48:57+00:00,9,galaxya20e,True,QSET61422121345190,adGroupName 52,trackerName 54,channel 9,campaign 21,creative 34,android,2024-01-01,United Kingdom,,,,,,,,,,,,,,,0,left_only
818f3348L91abbdaf4e9b8c4a2b36491ff360,gb,2024-01-01 04:20:31+00:00,9,8,False,CUPG96622933841895,adGroupName 51,trackerName 53,channel 9,campaign 20,creative 33,android,2024-01-01,United Kingdom,,,,,,,,,,,,,,,0,left_only
cc0e3348L3ccb0c2e41318791d09edf5b59b2,es,2024-01-01 10:15:50+00:00,9,k41s,False,PXHP18193167788918,adGroupName 50,trackerName 52,channel 9,campaign 20,creative 32,android,2024-01-01,Spain,,,,,,,,,,,,,,,0,left_only
593b3348L430b5a0f45249cd316c0b59d5a32,be,2024-01-01 18:58:32+00:00,9,p30lite,False,LFWA93602655720534,adGroupName 49,trackerName 51,channel 9,campaign 19,creative 31,android,2024-01-01,Belgium,,,,,,,,,,,,,,,0,left_only
