userId,createdAt,countryCode,platform,amount,eventId,source,network,adUnitFormat,deviceId,advertisingId,packageName,adUnitName,createdDate,countryName
98223348Lfc56424f4ecc8a6a51df078d3b50,2024-01-01 03:27:11.653079+00:00,ca,android,0.0825104,UFOA50316346323353,source 1,network 1,adUnitFormat 1,MUKJ31662517026062,BTFB55314981998668,packageName 1,adUnitName 1,2024-01-01,Canada
06c53348Lb7f6262c4261a5b7340f301f4a92,2024-01-01 04:19:04.281771+00:00,ca,android,0.000115718,ACVH81800365309399,source 1,network 1,adUnitFormat 1,OPDS19296982968073,WYWS55356535259373,packageName 1,adUnitName 1,2024-01-01,Canada
06c53348Lb7f6262c4261a5b7340f301f4a92,2024-01-01 04:41:18.041051+00:00,ca,android,0.000111094,AJIE67942237150314,source 1,network 1,adUnitFormat 1,OPDS19296982968073,WYWS55356535259373,packageName 1,adUnitName 1,2024-01-01,Canada
06c53348Lb7f6262c4261a5b7340f301f4a92,2024-01-01 05:02:39.465687+00:00,ca,android,0.000101411,NMFD23525567785987,source 1,network 1,adUnitFormat 1,OPDS19296982968073,WYWS55356535259373,packageName 1,adUnitName 1,2024-01-01,Canada
e2743348L699571fa4fd9b4f7e8b3c5720df0,2024-01-01 06:05:44.576467+00:00,us,android,0.00494669,VTCG22147540339387,source 1,network 1,adUnitFormat 1,YBSU65690062552565,DNRA06338648505622,packageName 1,adUnitName 1,2024-01-01,United States
06c53348Lb7f6262c4261a5b7340f301f4a92,2024-01-01 06:41:46.783231+00:00,ca,android,0.000154257,MEHX26688076746853,source 1,network 1,adUnitFormat 1,OPDS19296982968073,WYWS55356535259373,packageName 1,adUnitName 1,2024-01-01,Canada
06c53348Lb7f6262c4261a5b7340f301f4a92,2024-01-01 08:00:45.014775+00:00,ca,android,0.000132851,BNHB37216705096339,source 1,network 1,adUnitFormat 1,OPDS19296982968073,WYWS55356535259373,packageName 1,adUnitName 1,2024-01-01,Canada
47123348Ld7f16c70403f8e1affdb1332931e,2024-01-01 09:19:52.900940+00:00,nl,android,0.00330641,GGXB32293442357576,source 1,network 1,adUnitFormat 1,OCNZ40740081001824,PJDF37672139806354,packageName 1,adUnitName 1,2024-01-01,Netherlands
e2d63348Lce62a8024ac89653ae4ce11d721a,2024-01-01 17:46:47.232714+00:00,es,android,0.10851,GEAG87212087745327,source 1,network 1,adUnitFormat 1,DFJH30793295851791,KAEC25875650770807,packageName 1,adUnitName 1,2024-01-01,Spain
ffd13348L9f19f0e94b21bb326af44dc1c4ca,2024-01-01 19:38:38.141253+00:00,us,android,0.0680779,GVNQ45448566313769,source 1,network 1,adUnitFormat 1,GRMH20614238921798,SMZD05078446441762,packageName 1,adUnitName 1,2024-01-01,United States
899f3348Lb6ff9f70416e9ad0929c38167708,2024-01-01 02:49:19.098225+00:00,us,android,0.0854816,RGBB36020901678624,source 1,network 2,adUnitFormat 1,QJYS94185817323199,PUNY73201688947662,packageName 2,adUnitName 2,2024-01-01,United States
2e803348Lb3e5dfad4133943aa10b8349a704,2024-01-01 13:03:24.676989+00:00,de,android,0.000178575,PUFK31153656818899,source 1,network 2,adUnitFormat 2,PXMM53226701652285,TCYX74674601195454,packageName 2,adUnitName 3,2024-01-01,Germany
29e43348L9e635dfb4d79b8fe4488d2decad5,2024-01-01 20:56:33.943846+00:00,us,android,0.0804136,FYTW17213035412997,source 1,network 2,adUnitFormat 3,UQZS41127917686848,HLNY13806194246881,packageName 2,adUnitName 4,2024-01-01,United States
29e43348L9e635dfb4d79b8fe4488d2decad5,2024-01-01 20:59:45.681038+00:00,us,android,0.00100002,KODE76918728645392,source 1,network 2,adUnitFormat 2,UQZS41127917686848,HLNY13806194246881,packageName 2,adUnitName 5,2024-01-01,United States
29e43348L9e635dfb4d79b8fe4488d2decad5,2024-01-01 21:01:21.368953+00:00,us,android,0.0959584,MHLP44907585579991,source 1,network 2,adUnitFormat 3,UQZS41127917686848,HLNY13806194246881,packageName 2,adUnitName 4,2024-01-01,United States
81023348L1d36fd3e4515a59ce3829a0f475a,2024-01-01 21:22:14.624672+00:00,us,android,0.0503344,VWVK79729196127415,source 1,network 2,adUnitFormat 3,CSDB55069187895351,LZHT52229134858785,packageName 2,adUnitName 4,2024-01-01,United States
29e43348L9e635dfb4d79b8fe4488d2decad5,2024-01-01 21:24:12.543126+00:00,us,android,0.00100002,DEWR72672154823793,source 1,network 2,adUnitFormat 2,UQZS41127917686848,HLNY13806194246881,packageName 2,adUnitName 5,2024-01-01,United States
29e43348L9e635dfb4d79b8fe4488d2decad5,2024-01-01 21:24:30.044008+00:00,us,android,0.0861368,MBGE40101719128160,source 1,network 2,adUnitFormat 3,UQZS41127917686848,HLNY13806194246881,packageName 2,adUnitName 4,2024-01-01,United States
29e43348L9e635dfb4d79b8fe4488d2decad5,2024-01-01 21:25:04.365664+00:00,us,android,0.00100002,VBZW41977211397507,source 1,network 2,adUnitFormat 2,UQZS41127917686848,HLNY13806194246881,packageName 2,adUnitName 5,2024-01-01,United States
20a23348L6f3255a64d5084a87e6907ef2005,2024-01-01 02:28:39.033802+00:00,us,android,0.0045,ZKZU42361185325324,source 1,network 3,adUnitFormat 2,GWVQ53818041567948,SUQI74040824240185,packageName 2,adUnitName 5,2024-01-01,United States
d1f23348Lb4d35331402e8a5e050c0a81b715,2024-01-01 04:02:59.814124+00:00,us,ios,0.001,UDEI14486708707552,source 1,network 3,adUnitFormat 2,YRXA02672446259865,MVNH76971032880472,packageName 2,adUnitName 6,2024-01-01,United States
7b783348Lc4ffdec3414c98e9299c4227bc8d,2024-01-01 07:28:42.215510+00:00,us,ios,0.006,TWTM29456593603733,source 1,network 3,adUnitFormat 2,GPQK25514793922045,WGEY10102096538815,packageName 2,adUnitName 6,2024-01-01,United States
78dc3348Ld387ad974a12a53670830f229e0b,2024-01-01 08:19:22.128529+00:00,us,ios,0.001,IJAB91071190856753,source 1,network 3,adUnitFormat 2,KABJ82978017527509,MVNH76971032880472,packageName 2,adUnitName 6,2024-01-01,United States
53523348L828abf9744cb8b4249ff31eea33c,2024-01-01 09:00:13.503502+00:00,us,ios,0.00075,JQTN87001498668748,source 1,network 3,adUnitFormat 2,ACDA57658100519826,MVNH76971032880472,packageName 2,adUnitName 6,2024-01-01,United States
53523348L828abf9744cb8b4249ff31eea33c,2024-01-01 09:06:32.106583+00:00,us,ios,0.0005,EWSN72840819551207,source 1,network 3,adUnitFormat 2,ACDA57658100519826,MVNH76971032880472,packageName 2,adUnitName 6,2024-01-01,United States
53523348L828abf9744cb8b4249ff31eea33c,2024-01-01 09:15:41.471601+00:00,us,ios,0.00025,GCPR21537322195273,source 1,network 3,adUnitFormat 2,ACDA57658100519826,MVNH76971032880472,packageName 2,adUnitName 6,2024-01-01,United States
53523348L828abf9744cb8b4249ff31eea33c,2024-01-01 09:16:30.158610+00:00,us,ios,0.00025,MQXW26377419813586,source 1,network 3,adUnitFormat 2,ACDA57658100519826,MVNH76971032880472,packageName 2,adUnitName 6,2024-01-01,United States
4f893348Ld00660434c769e2b9ccc4ecb21df,2024-01-01 11:23:14.446523+00:00,us,ios,0.001,YTVK20378471798861,source 1,network 3,adUnitFormat 2,GZCO51927861431594,MVNH76971032880472,packageName 2,adUnitName 6,2024-01-01,United States
7b783348Lc4ffdec3414c98e9299c4227bc8d,2024-01-01 07:29:50.367995+00:00,us,ios,0.0022,XWIA11031523182854,source 1,network 4,adUnitFormat 2,GPQK25514793922045,WGEY10102096538815,packageName 2,adUnitName 6,2024-01-01,United States
7b783348Lc4ffdec3414c98e9299c4227bc8d,2024-01-01 07:31:18.217940+00:00,us,ios,0.0009,OJFV10897302051211,source 1,network 4,adUnitFormat 2,GPQK25514793922045,WGEY10102096538815,packageName 2,adUnitName 6,2024-01-01,United States
7b783348Lc4ffdec3414c98e9299c4227bc8d,2024-01-01 07:32:08.441643+00:00,us,ios,0.0009,AEGS64122583253942,source 1,network 4,adUnitFormat 2,GPQK25514793922045,WGEY10102096538815,packageName 2,adUnitName 6,2024-01-01,United States
7b783348Lc4ffdec3414c98e9299c4227bc8d,2024-01-01 07:32:35.823826+00:00,us,ios,0.0009,YEUT75730981937892,source 1,network 4,adUnitFormat 2,GPQK25514793922045,WGEY10102096538815,packageName 2,adUnitName 6,2024-01-01,United States
7b783348Lc4ffdec3414c98e9299c4227bc8d,2024-01-01 07:34:31.641892+00:00,us,ios,0.0009,TRVV58035720076715,source 1,network 4,adUnitFormat 2,GPQK25514793922045,WGEY10102096538815,packageName 2,adUnitName 6,2024-01-01,United States
7b783348Lc4ffdec3414c98e9299c4227bc8d,2024-01-01 07:36:43.110394+00:00,us,ios,0.0006,TXRM37222126480273,source 1,network 4,adUnitFormat 2,GPQK25514793922045,WGEY10102096538815,packageName 2,adUnitName 6,2024-01-01,United States
53523348L828abf9744cb8b4249ff31eea33c,2024-01-01 08:54:38.985543+00:00,us,ios,0.0018,QGWS20862736349433,source 1,network 4,adUnitFormat 2,ACDA57658100519826,MVNH76971032880472,packageName 2,adUnitName 6,2024-01-01,United States
53523348L828abf9744cb8b4249ff31eea33c,2024-01-01 08:56:39.044289+00:00,us,ios,0.0014,GKMC98190682220513,source 1,network 4,adUnitFormat 2,ACDA57658100519826,MVNH76971032880472,packageName 2,adUnitName 6,2024-01-01,United States
