report_day,country_code,os_name,network_clicks,network_impressions,network_installs,network_installs_diff,installs,cost,channel,campaign,creative
2024-01-01,gb,android,68,5406,239,239,0,151.3229,channel 1,campaign 1,creative 1
2024-01-01,us,android,14776,934292,24334,24334,0,24081.0339,channel 1,campaign 2,creative 1
2024-01-01,no,android,52,2961,143,143,0,58.557,channel 1,campaign 3,creative 1
2024-01-01,pl,android,0,0,0,357,357,0.0,channel 1,campaign 4,creative 2
2024-01-01,be,android,0,0,0,1,1,0.0,channel 1,campaign 5,creative 3
2024-01-01,ca,android,0,0,0,15,15,0.0,channel 1,campaign 6,creative 2
2024-01-01,sg,android,0,0,0,4,4,0.0,channel 1,campaign 7,creative 3
2024-01-01,ch,android,0,0,0,1,1,0.0,channel 1,campaign 7,creative 2
2024-01-01,it,android,0,0,0,13,13,0.0,channel 1,campaign 7,creative 4
2024-01-01,us,android,0,0,0,87,87,0.0,channel 1,campaign 8,creative 3
2024-01-01,us,android,0,0,0,1,1,0.0,channel 1,campaign 8,creative 4
2024-01-01,ir,android,0,0,0,1,1,0.0,channel 1,campaign 2,creative 2
2024-01-01,us,android,0,0,0,8,8,0.0,channel 1,campaign 9,creative 2
2024-01-01,us,android,388,2265,8,8,0,79.4467,channel 2,campaign 10,creative 5
2024-01-01,us,android,83,494,0,0,0,9.882,channel 2,campaign 11,creative 6
2024-01-01,us,android,52,387,0,0,0,9.9013,channel 2,campaign 10,creative 7
2024-01-01,us,ios,4,1618,0,0,0,1.1932,channel 2,campaign 12,creative 8
2024-01-01,us,ios,6,48,0,0,0,0.333,channel 2,campaign 12,creative 9
2024-01-01,us,ios,8,1978,1,1,0,1.6005,channel 2,campaign 13,creative 8
2024-01-01,us,android,150,833,2,2,0,16.7029,channel 2,campaign 14,creative 5
2024-01-01,us,android,228,1410,2,2,0,29.1164,channel 2,campaign 11,creative 10
2024-01-01,us,android,316,1396,3,3,0,30.8138,channel 2,campaign 11,creative 11
2024-01-01,us,ios,515,1689,3,3,0,42.1846,channel 2,campaign 12,creative 12
2024-01-01,us,ios,4426,5260,22,22,0,71.4,channel 3,campaign 15,creative 13
2024-01-01,gb,android,91,160529,11,11,0,17.0072,channel 3,campaign 16,creative 14
2024-01-01,us,android,49,345,1,0,1,1.0,channel 3,campaign 17,creative 15
2024-01-01,ca,android,52,1323,1,1,0,2.7033,channel 3,campaign 18,creative 16
2024-01-01,us,ios,340,473,2,1,1,23.9661,channel 3,campaign 19,creative 17
2024-01-01,us,ios,1327,1956,5,5,0,40.4404,channel 3,campaign 20,creative 18
2024-01-01,us,android,95,363,7,7,0,43.7209,channel 3,campaign 18,creative 19
2024-01-01,us,android,143,54551,16,23,39,330.39,channel 4,campaign 21,creative 20
2024-01-01,us,ios,336,82931,0,55,55,590.34,channel 4,campaign 22,creative 21
